donor_name,donor_province,donor_city,total_donations,donations_per_employee_range,donation_consistency
Fondation Familiprix,QC,QUÉBEC,3,6,3
Fondation Famille Benoit,QC,MONTREAL,35,2,3
Fondation Famille Bertrand,QC,MONTREAL,1,2,1
Fondation Famille Gilbert,QC,QUEBEC,3,3,2
Fondation Famille Godin - Godin Family Foundation,QC,MONTREAL,70,2,4
Fondation Famille René et Deschênes,QC,STE-MARGUERITE-DU-LAC-MASSON,1,2,1
Fondation Farag & Ward,QC,SAINT-LAURENT,4,7,4
Fondation Frontenac,QC,QUEBEC,15,6,4
Fondation GDG,QC,QUÉBEC,2,1,2
Fondation Giguère,QC,QUEBEC,1,3,1
Fondation Grace Dart/Grace Dart Foundation,QC,WESTMOUNT,3,1,1
Fondation Groupe AGF / AGF Group Foundation,QC,LONGUEUIL,7,2,1
Fondation Guido Molinari/Guido Molinari Foundation,QC,MONTRÉAL,1,1,1
Fondation HEC Montréal,QC,MONTREAL,6,7,2
Fondation Habilitas Habilitas Foundation,QC,MONTREAL,2,7,2
Fondation Henrichon-Goulet,QC,MONTREAL,4,2,4
Fondation Huguette et Jean-Louis-Fontaine,QC,MONTREAL,6,4,2
Fondation J'ai ma place,QC,QUÉBEC,1,2,1
Fondation J-Louis Lévesque,QC,BEACONSFIELD,45,7,4
Fondation J. Arthur Vincent,QC,MONTREAL,4,7,3
Fondation Jacques Bouchard,QC,MONTRÉAL,1,4,1
Fondation Jacques Lessard / Jacques Lessard Foundation,QC,MONTRÉAL,7,3,4
Fondation Jean Lapointe,QC,MONTREAL,4,4,4
Fondation Jean de la Mennais,QC,LA PRAIRIE,4,7,4
Fondation Jeanniot / Jeanniot Foundation,QC,MONTRÉAL,4,0,4
Fondation Jeunes en Tête,QC,MONTREAL,9,2,2
Fondation La Clé,QC,MONTREAL,2,2,2
Fondation Legatum Burgundy,ON,TORONTO,3,2,1
Fondation Linoit,QC,VERDUN,9,4,3
Fondation Lise Watier,QC,MONTRÉAL,4,4,3
Fondation Lise et Richard Fortin,QC,BROSSARD,2,3,1
Fondation Lise et Richard Fortin,QC,SAINT-EUSTACHE,14,3,3
Fondation Lorraine et Jean Turmel,QC,MONTREAL,13,0,4
Fondation Luc Maurice,QC,SAINT-LAURENT,8,3,2
Fondation Lucie et André Chagnon,QC,MONTREAL,53,7,4
Fondation MOSD/MOSD foundation,QC,WESTMOUNT,4,5,4
Fondation Madeleine et Jean-Paul Tardif,QC,QUÉBEC,8,2,4
Fondation Malle Baye,QC,QUEBEC,3,1,3
Fondation Marc Bourgie,QC,MONTREAL,2,2,1
Fondation Marc Chouinard,QC,PONT-VIAU,3,2,3
Fondation Marcelle et Jean Coutu,QC,MONTREAL,68,7,4
Fondation Marie-Vincent,QC,MONTRÉAL,4,4,4
Fondation Martin Matte,QC,LAVAL,2,1,2
Fondation Mirella & Lino Saputo,QC,SAINT-LEONARD,36,7,4
Fondation Mise sur toi inc.,QC,OUTREMONT,1,5,1
Fondation Monique Fitz-Back pour l'éducation au développement durable,QC,QUÉBEC,4,1,4
Fondation Nicole-Germain,QC,MONTREAL,4,0,3
Fondation Norman Fortier,QC,ANJOU,5,6,4
Fondation Othrys,QC,CHICOUTIMI,4,5,3
Fondation Otis Grant & Amis - Otis Grant & Friends Foundation,QC,DOLLARD-DES-ORMEAUX,1,7,1
Fondation Patrick Madore,QC,MONTREAL,4,7,4
Fondation Paul Tex Lecor de l'école des Hauts-Bois,QC,MASCOUCHE,3,7,3
Fondation Philantra Philantra Foundation,QC,MONTREAL,5,1,1
Fondation Prince Albert II de Monaco (Canada)/The Prince Albert II of Monaco Foundation (Canada),QC,MONTREAL,2,2,1
Fondation Québec Philanthrope,QC,QUEBEC,41,2,1
Fondation Ronald Denis M.D.,QC,LAVAL,1,3,1
Fondation Régiment de Maisonneuve,QC,TERREBONNE,1,2,1
Fondation Réno-Jouets,QC,QUEBEC,1,1,1
Fondation Saint-Patrick de Montréal/Montreal St-Patrick's F oundation,QC,MONTREAL,8,2,4
Fondation Sandra et Alain Bouchard,QC,MONTREAL,36,3,4
Fondation Sibylla Hesse,QC,MONTRÉAL,84,2,4
Fondation Soeurs de Notre-Dame Auxiliatrice,QC,ROUYN-NORANDA,11,2,3
Fondation Sourdine,QC,QUEBEC,3,4,3
Fondation St-Hubert,QC,LAVAL,9,0,2
Fondation Suzanne et Jean-Robert Leclerc,QC,QUÉBEC,6,1,4
Fondation Sépharade Kollel Avrechim / Sephardic Kollel Avrechim foundation,QC,COTE SAINT-LUC,2,2,2
Fondation Terry Fox,BC,Burnaby,1,7,1
Fondation Thomas-Léon Tremblay,QC,CHICOUTIMI,9,0,4
Fondation Thérèse et Guy Charron,QC,MONTREAL,3,7,3
Fondation Veilor,QC,WESTMOUNT,1,2,1
Fondation Villa Maria,QC,MONTREAL,3,7,3
Fondation Villa Ste-Marcelline,QC,WESTMOUNT,4,5,4
Fondation Vitae,QC,SHERBROOKE,1,7,1
Fondation Véronic Dicaire,QC,MORIN-HEIGHTS,2,2,1
Fondation centre action / Action Centre Foundation,QC,LASALLE,2,3,2
Fondation communautaire Bas-Saint-Laurent - Gaspésie - Les îles,QC,MARIA,3,2,3
Fondation communautaire du Saguenay-Lac-Saint-Jean,QC,CHICOUTIMI,4,2,4
Fondation d'Israel pour la Recherche sur le Cancer Israel Cancer Research Fund,QC,WESTMOUNT,5,1,1
Fondation de Claire et Jean-Pierre Léger,QC,LAVAL,5,3,1
Fondation de Claire et Jean-Pierre Léger,QC,MONTREAL,16,2,3
Fondation de L'A.P.C.H.Q.,QC,ANJOU,2,2,1
Fondation de Recherche Appliquée de Technologie Physique de La Pocatière Inc.,QC,LA POCATIERE,3,1,3
Fondation de l'Ecole Primaire Les Trois Saisons inc.,QC,BOUCHERVILLE,1,5,1
Fondation de l'Hôpital régional de St-Jérôme,QC,Saint-Jérôme,1,7,1
Fondation de l'Institut St-Joseph inc.,QC,QUÉBEC,1,5,1
Fondation de l'Institut de Recherches Cliniques de Montréal,QC,MONTREAL,4,7,4
Fondation de l'Office Municipal D'Habitation de Montréal,QC,MONTREAL,1,2,1
Fondation de l'Ordre des Dentistes du Québec,QC,MONTRÉAL,4,7,4
Fondation de l'Université du Québec à Montréal,QC,MONTREAL,21,2,4
Fondation de l'École Armand-Racicot,QC,LONGUEUIL,1,7,1
Fondation de l'École de musique du Bas-Saint-Laurent,QC,Rimouski,1,1,1
Fondation de l'école secondaire Saint-Joseph,QC,SAINT-HYACINTHE,3,6,3
Fondation de la Famille Hochstadter/The Hochstadter Family Foundation,QC,MONTREAL,3,6,3
Fondation de la Famille Nataf/Nataf Family Foundation,QC,MONTREAL,18,6,3
Fondation de la famille Zeller,QC,MONTREAL,60,2,4
Fondation de la fédération des médecins spécialistes du Québec,QC,MONTRÉAL,6,1,3
Fondation des Centres François-Michelle,QC,OUTREMONT,1,6,1
Fondation des Petits Chanteurs de Trois-Rivières,QC,SHAWINIGAN,3,1,3
Fondation des clubs Lions du Québec,QC,LAVAL,3,7,3
Fondation diocesaine L'Assomption (Montréal),QC,MONTREAL,4,7,4
Fondation du Centre universitaire de santé McGill McGill University Health Centre Foundation,QC,MONTREAL,3,7,3
Fondation du College Universitaire Dominicain,QC,MONTRÉAL,4,4,4
Fondation du Collège Dawson Dawson College Foundation,QC,MONTREAL,4,7,4
Fondation du Collège Jean-Eudes Inc.,QC,MONTREAL,4,7,4
Fondation du Collège Jésus-Marie de Sillery,QC,QUÉBEC,2,7,2
Fondation du Collège Notre-Dame de Rivière-du-Loup,QC,RIVIERE-DU-LOUP,1,6,1
Fondation du Collège Notre-Dame à Montréal,QC,MONTREAL,3,7,3
Fondation du Cégep de Drummondville,QC,DRUMMONDVILLE,4,7,4
Fondation du Cégep de Limoilou,QC,QUEBEC,4,7,4
Fondation du Cégep de Thetford,QC,THETFORD MINES,3,7,3
Fondation du Grand Séminaire de Montréal / Foundation Of TheGrand Seminary Of Montréal,QC,MONTREAL,2,1,2
Fondation du Patrimoine de l'étincelle,QC,MONTREAL,1,2,1
Fondation du collège Beaubois,QC,PIERREFONDS,4,5,4
Fondation du collège Ste-Marcelline,QC,MONTREAL,4,6,4
Fondation du cégep de St-Hyacinthe,QC,SAINT-HYACINTHE,3,7,3
Fondation du cégep de l'Outaouais,QC,GATINEAU,3,7,3
Fondation du grand défi Pierre Lavoie,QC,BOUCHERVILLE,9,7,1
Fondation en horticulture ornementale de l'I.T.A. de Saint- Hyacinthe,QC,SAINT-HYACINTHE,2,2,2
Fondation evenko pour le talent émergent,QC,MONTREAL,9,2,2
Fondation iA Groupe financier/iA Financial Group Foundation,QC,QUÉBEC,9,2,4
Fondation l'Accolade,QC,SAINT-CLAUDE,1,2,1
Fondation l'Aubainerie,QC,ANJOU,2,0,1
Fondation la petite académie du boisé,QC,SAINT-HYACINTHE,1,5,1
Fondation pour l'Enfance et la Jeunesse Saguenay Lac ST-Jean,QC,CHICOUTIMI,3,2,3
Fondation pour la Recherche en Chirurgie Thoracique de Montréal,QC,MONTREAL,3,7,3
Fondation pour le développement de la formation médicale Québec Monde,QC,SAINT-LAMBERT,1,4,1
Fondation québécoise du sida,QC,MONTRÉAL,1,4,1
Fondation scoute LC,QC,MONTREAL,2,0,2
Fondation soutien à l'enfance Rivière-du-Nord,QC,Saint-Jérôme,1,7,1
Fondation universitaire de l'école des hautes études commerciales de Montréal,QC,MONTREAL,1,7,1
Fondation « À Dieu va » / « To God Go » Foundation,QC,ANJOU,3,2,2
Fondation Élaine et Réal Raymond,QC,MONTREAL,1,7,1
Fondation Élan Jeunesse,NB,ST-HILAIRE,3,7,3
Fondation école secondaire de la ruche,QC,MAGOG,1,7,1
Fonds de Développement Vanguard/Vanguard Development Fund,QC,SAINT-LAURENT,4,7,4
Fonds de charité des employés de la Ville de Montréal,QC,MONTREAL,1,0,1
Food Allergy Canada / Allergies Alimentaires Canada,ON,NORTH YORK,2,7,2
Food Banks Canada/Banques Alimentaires Canada,ON,MISSISSAUGA,12,2,4
Forest Hills United Baptist Church Inc.,NB,SAINT JOHN,8,5,4
Foundation for Cultural and Education,QC,Montreal,1,1,1
Foundation for the Royal College of Chiropractic Sports Sciences (Canada),ON,UNIONVILLE,1,7,1
Franko Family Foundation,ON,TORONTO,4,2,3
Fred North Charitable Foundation,AB,SHERWOOD PARK,1,7,1
Fredericton Christian Church,NB,FREDERICTON,3,2,3
Free Reformed Church of Hamilton,ON,BRANTFORD,4,5,4
Freedom Tree,AB,Calgary,2,2,2
Fresh Wind Revival Centre,ON,WINGHAM,1,1,1
Friends of Griffith Woods School Society,AB,CALGARY,2,7,2
Friends of Meccs Education Foundation,AB,WARBURG,1,4,1
Fruit of the Spirit Foundation,ON,TORONTO,4,7,3
Fruitland Christian Reformed Church,ON,STONEY CREEK,7,5,3
Fundy St. Lawrence Dawning Waters Regional Council - The United Church of Canada,NB,SACKVILLE,1,2,1
Fédération de l'Âge d'Or du Québec,QC,MONTRÉAL,2,1,1
G & M MASTERS FOUNDATION,AB,EDMONTON,4,1,4
G2G FOUNDATION,AB,MEDICINE HAT,2,7,2
GAD AND SANDRA BITTON FAMILY FOUNDATION,QC,MOUNT ROYAL,7,6,3
GALIN FOUNDATION,ON,TORONTO,13,1,4
GANDY CHARITABLE FOUNDATION,ON,TORONTO,8,0,3
GARRISON ROAD CHURCH OF THE UNITED BRETHREN IN CHRIST INC,ON,FORT ERIE,3,6,3
GARY BLUESTEIN CHARITABLE FOUNDATION,ON,NORTH YORK,25,2,3
GATES OF MERCY,ON,TORONTO,13,3,1
GATEWAY CHRISTIAN COMMUNITY INC.,MB,WEST ST PAUL,6,5,4
GATEWAY CHRISTIAN MINISTRIES,BC,PRINCE GEORGE,1,5,1
GATEWAY CHURCH - LONDON,ON,LONDON,3,5,3
GATEWAY COMMUNITY CHRISTIAN REFORMED CHURCH,BC,ABBOTSFORD,3,6,3
GATEWAY COMMUNITY CHURCH,SK,CANORA,1,3,1
GATEWAY FOUNDATION,BC,KELOWNA,5,6,3
GAYLA & JOHN DEHART FAMILY FOUNDATION,BC,VANCOUVER,4,3,2
GCA EDUCATIONAL SOCIETY,AB,CALGARY,1,3,1
GEARY BAPTIST CHURCH,NB,GEARY,4,4,4
GELMONT FOUNDATION/FONDATION GELMONT,QC,MONTREAL,1,6,1
GEMILAS CHESED OF CLANTON PARK,ON,TORONTO,3,0,3
GENCON FOUNDATION,BC,VANCOUVER,3,2,3
GENERAL MOTORS OF CANADA LIMITED EMPLOYEES CHARITY,ON,OSHAWA,1,2,1
GENERATIONS CHURCH,BC,NANAIMO,1,5,1
GEORGE AND HELEN VARI FOUNDATION,ON,TORONTO,7,2,2
GEORGE BROWN COLLEGE OF APPLIED ARTS AND TECHNOLOGY,ON,TORONTO,4,4,4
GEORGIA STRAIT ALLIANCE,BC,NANAIMO,2,1,2
GEORGIAN BAY FOREVER,ON,TORONTO,2,0,2
GEORGIAN SHORES SWINGING SENIORS,ON,TINY,1,0,1
GERALD C BAINES CHARITABLE FOUNDATION,ON,LONDON,4,1,3
GERALD SHEFF AND SHANITHA KACHAN CHARITABLE FOUNDATION,ON,TORONTO,28,2,3
GIANCARLO AND ODETTE TOGNETTI LEGACY TRUST FOUNDATION,BC,VANCOUVER,1,4,1
GIBSONS UNITED CHURCH,BC,GIBSONS,1,2,1
GIFTPACT FOUNDATION INC.,MB,WINNIPEG,113,7,4
GILBERT AND STEWART BAGNANI ENDOWMENT,BC,VANCOUVER,4,7,4
GILBERT PLAINS PASTORAL CHARGE,MB,GILBERT PLAINS,3,4,3
GILL FAMILY CHARITABLE TRUST,ON,CALEDON EAST,2,3,2
GILL RATCLIFFE FOUNDATION,ON,KINGSTON,12,0,2
GILLESPIE FAMILY FOUNDATION,ON,MISSISSAUGA,2,0,2
GILLOTT FAMILY TRUST,ON,HUNTSVILLE,7,4,4
GILMOUR MEMORIAL BAPTIST CHURCH,ON,SELWYN,2,4,2
"GIST SARCOMA LIFE RAFT GROUP, CANADA",ON,COBOURG,1,7,1
GIVECLEAR FOUNDATION CANADA,BC,ABBOTSFORD,17,3,3
GLAD TIDINGS CHURCH (SUDBURY),ON,SUDBURY,2,5,2
GLAD TIDINGS CHURCH (VICTORIA),BC,VICTORIA,2,5,2
GLAD TIDINGS PENTECOSTAL ASSEMBLY,AB,VERMILION,2,5,2
GLAD TIDINGS PENTECOSTAL CHURCH,ON,BURLINGTON,4,5,4
GLAD TIDINGS PENTECOSTAL CHURCH,ON,CAMPBELLFORD,4,1,4
GLAD TIDINGS TABERNACLE,SK,BIRCH HILLS,4,0,4
GLANBROOK CANADIAN REFORMED CHURCH,ON,MOUNT HOPE,6,0,3
GLASSWATERS FOUNDATION,BC,CAMPBELL RIVER,5,2,3
GLENCROSS MENNONITE CHURCH,MB,MORDEN,1,5,1
GLENDON EVANGELICAL CHURCH,AB,GLENDON,3,3,2
GLENLEA MENNONITE CHURCH,MB,GLENLEA,2,5,2
GLENLYON NORFOLK SCHOOL FOUNDATION,BC,VICTORIA,4,7,4
GLENN'S HELPING HAND FOUNDATION INC.,NL,MOUNT PEARL,3,7,3
GLOBAL CHANGE FOR CHILDREN SOCIETY,BC,VANCOUVER,5,1,3
GLOBAL CITIZENS CARE FOR UNDERPRIVILEGED AND REFUGEE EMPOWER,ON,HAMILTON,1,6,1
GLOBAL FELLOWSHIP OF HOLINESS IN JESUS CHRIST,ON,WHITBY,1,3,1
GLOBAL FREEDOM FOUNDATION,BC,LANGLEY,1,7,1
GLOBAL KINGDOM MINISTRIES CHURCH INC.,ON,SCARBOROUGH,1,5,1
GLOBAL YOUTH VOLUNTEER NETWORK/RESEAU MONDIAL JEUNESSE VOLONTAIRE,AB,BLACKFALDS,1,3,1
GLOBAL YOUTH VOLUNTEER NETWORK/RESEAU MONDIAL JEUNESSE VOLONTAIRE,ON,KITCHENER,1,3,1
GLORIA DI DIO FOUNDATION,BC,VANCOUVER,11,1,4
GLORIOUS AND FREE FOUNDATION,ON,TORONTO,2,2,2
GLORY LUTHERAN CHURCH SHERWOOD PARK,AB,SHERWOOD PARK,2,3,2
GLORY TO GOD CHRISTIAN ASSEMBLY (EDMONTON),AB,EDMONTON,1,5,1
GMR FOUNDATION,BC,NORTH VANCOUVER,11,4,4
GOEL FAMILY CHARITABLE FOUNDATION,BC,VANCOUVER,5,4,3
GOLDEN AND DISTRICT COMMUNITY FOUNDATION,BC,GOLDEN,5,7,2
GOLDEN THREAD FOUNDATION,BC,VANCOUVER,3,3,3
GOLDEN VALLEY LUTHERAN CHURCH,AB,VIKING,4,2,4
GOLVIN CHARITABLE FOUNDATION,ON,MARKHAM,5,4,3
GOOD FOUNDATION INC.,ON,LONDON,18,0,4
GOOD NEWS CHRISTIAN REFORMED CHURCH OF LONDON,ON,LONDON,8,3,4
GOOD SHEPHERD COMMUNITY CHURCH SCARBOROUGH,ON,SCARBOROUGH,1,0,1
GOOD SHEPHERD LUTHERAN CHURCH,ON,LONDON,3,2,3
GOOD SHEPHERD LUTHERAN CHURCH OF COQUITLAM,BC,COQUITLAM,3,3,3
"GOOD SHEPHERD LUTHERAN CHURCH, VICTORIA, BRITISH COLUMBIA",BC,VICTORIA,1,5,1
GOOD SHEPHERD PENTECOSTAL CHURCH,ON,WINDSOR,4,4,4
GOOD SHEPHERD'S CHINESE CHRISTIAN CHURCH,ON,TORONTO,5,3,4
GOODLIFE KIDS FOUNDATION,ON,LONDON,15,2,3
GORDON & DIANE BUCHANAN FAMILY FOUNDATION,AB,EDMONTON,1,3,1
GORDON & RUTH GOODER CHARITABLE FOUNDATION,ON,TORONTO,9,5,3
GORDON AND PATRICIA GRAY ANIMAL WELFARE FOUNDATION,ON,RICHMOND HILL,3,2,2
GORE MUTUAL INSURANCE COMPANY FOUNDATION,ON,CAMBRIDGE,16,3,4
GORMLEY MISSIONARY CHURCH,ON,RICHMOND HILL,4,3,4
GOSHEN CHRISTIAN ASSEMBLY OF EDMONTON,AB,EDMONTON,1,5,1
GOSPEL CENTRE PENTECOSTAL CHURCH (EDMONTON),AB,EDMONTON,3,5,3
GOSPEL COMMONWEALTH MINISTRY,BC,SURREY,1,1,1
GOSPEL FELLOWSHIP CHURCH,MB,STEINBACH,2,5,2
GOUDGE FAMILY FOUNDATION,BC,WHISTLER,2,3,2
GRACE AND TRUTH CHAPEL,ON,LASALLE,4,5,4
GRACE BAPTIST CHURCH,BC,KELOWNA,4,5,4
GRACE BAPTIST CHURCH ALLISTON,ON,ALLISTON,4,3,4
GRACE BAPTIST CHURCH OF OTTAWA,ON,STITTSVILLE,1,2,1
GRACE BIBLE CHURCH,ON,CAMBRIDGE,2,2,2
GRACE BIBLE CHURCH OF WINNIPEG INC,MB,WINNIPEG,3,6,3
GRACE BIBLE FELLOWSHIP OF SEXSMITH ALBERTA,AB,SEXSMITH,5,4,4
GRACE CANADIAN REFORMED CHURCH AT KERWOOD,ON,STRATHROY,10,3,4
GRACE CHAPEL OF THE CHRISTIAN BRETHREN CHURCH,QC,SHERBROOKE,3,4,3
GRACE CHRISTIAN REFORMED CHURCH OF COBOURG,ON,COBOURG,6,2,3
GRACE CHRISTIAN REFORMED CHURCH OF SCARBOROUGH,ON,SCARBOROUGH,8,0,4
GRACE CHRISTIAN REFORMED CHURCH OF WELLAND,ON,WELLAND,6,5,4
GRACE CHURCH NEWMARKET,ON,NEWMARKET,4,5,4
GRACE CHURCH SOCIETY OF SALMON ARM,BC,SALMON ARM,1,5,1
GRACE COMMUNITY BAPTIST CHURCH,BC,VANCOUVER,4,2,3
GRACE ESSENCE MEDITATION SCHOOL INC,MB,WINNIPEG,1,4,1
GRACE EVANGELICAL FREE CHURCH,BC,RICHMOND,2,3,2
GRACE EVANGELICAL LUTHERAN CHURCH,BC,VICTORIA,1,7,1
GRACE EVANGELICAL LUTHERAN CHURCH,MB,LANGRUTH,3,2,3
GRACE EVANGELICAL LUTHERAN CHURCH,ON,KINCARDINE,1,2,1
GRACE EVANGELICAL LUTHERAN CHURCH,ON,SOUTHAMPTON,1,2,1
"GRACE EVANGELICAL LUTHERAN CHURCH OF REGINA, SASKATCHEWAN",SK,REGINA,2,2,1
GRACE FELLOWSHIP CHURCH OF EAST TORONTO,ON,SCARBOROUGH,1,6,1
GRACE FELLOWSHIP CHURCH OF WEST TORONTO,ON,ETOBICOKE,2,4,2
GRACE FELLOWSHIP CHURCH-ASSOCIATE REFORMED PRESBYTERIAN,NS,NORTH SYDNEY,3,5,3
GRACE FREE REFORMED CHURCH,ON,BRANTFORD,13,5,4
GRACE HANIN COMMUNITY CHURCH,BC,SURREY,1,7,1
GRACE LUTHERAN CHURCH,AB,BENTLEY,5,3,4
GRACE LUTHERAN CHURCH,AB,EDMONTON,4,2,4
GRACE LUTHERAN CHURCH SASKATOON INCORPORATED,SK,SASKATOON,2,2,2
GRACE MENNONITE BRETHREN CHURCH,ON,KITCHENER,6,3,4
GRACE MENNONITE CHURCH OF ST. CATHARINES,ON,ST CATHARINES,2,5,2
GRACE PRESBYTERIAN CHURCH,ON,TORONTO,2,2,2
GRACE REFORMED CHURCH,ON,DUNNVILLE,10,3,4
GRACE TRINITY COMMUNITY CHURCH,ON,GUELPH,1,3,1
GRACE UNITED CHURCH,AB,LLOYDMINSTER,5,3,2
GRACE UNITED CHURCH,NS,DARTMOUTH,4,0,4
GRACE UNITED CHURCH,ON,HANOVER,3,7,3
GRACE UNITED CHURCH,ON,SARNIA,1,0,1
GRACE UNITED CHURCH,SK,WEYBURN,12,2,4
GRACE UNITED REFORMED CHURCH OF SIMCOE COUNTY,ON,ORILLIA,12,0,4
GRADE SCHOOL BREAKFAST FOUNDATION,BC,VANCOUVER,1,0,1
GRAFTON BAPTIST CHURCH,NB,GRAFTON,3,4,3
"GRAHAM C. LOUNT FAMILY FOUNDATION, INC.",MB,WINNIPEG,35,2,4
GRAHAM LEE FAMILY FOUNDATION,BC,VANCOUVER,2,7,2
GRAHAM MUNRO CHARITABLE FOUNDATION,ON,BRAMPTON,10,2,4
GRAND MANAN WHALE AND SEABIRD RESEARCH STATION INC,NB,GRAND MANAN,1,2,1
GRAND RIVER COMMUNITY (BAPTIST) CHURCH,ON,ELORA,1,2,1
GRAND RIVER CONSERVATION FOUNDATION,ON,CAMBRIDGE,12,7,4
GRAND SEMINAIRE DE CHICOUTIMI,QC,CHICOUTIMI,4,3,4
GRAND SEMINAIRE DE MONTREAL,QC,MONTREAL,3,2,3
GRAND SEMINAIRE DE QUEBEC,QC,SILLERY,8,1,4
GRAND SEMINAIRE DE SAINT-HYACINTHE,QC,SAINT-HYACINTHE,4,4,4
GRAND VALLEY CHURCH,ON,BRANTFORD,1,2,1
GRANDE PRAIRIE CHURCH OF CHRIST,AB,GRANDE PRAIRIE,6,0,3
GRANDE PRAIRIE PATHWAY CHRISTIAN COMMUNITIES,AB,SEXSMITH,2,2,2
GRANDVIEW & DISTRICT COMMUNITY FOUNDATION INC.,MB,GRANDVIEW,2,2,2
GRANDVIEW BAPTIST CHURCH,ON,KITCHENER,5,5,4
GRANDVIEW CHAPEL,BC,DAWSON CREEK,1,3,1
GRANT MEMORIAL BAPTIST CHURCH INC,MB,WINNIPEG,9,0,4
GRANT THORNTON FOUNDATION,ON,TORONTO,9,2,3
GRANTHAM MENNONITE BRETHREN CHURCH,ON,ST CATHARINES,6,2,3
GRAPES FOR HUMANITY,ON,TORONTO,1,4,1
GRAVELBOURG CHURCH OF CHRIST,SK,GRAVELBOURG,2,1,2
GRAVELBOURG UNITED CHURCH BOARD,SK,GRAVELBOURG,1,2,1
GREAT BEND CHURCH OF CHRIST,AB,DELBURNE,3,3,3
GREAT COMMISSION FOUNDATION,BC,ABBOTSFORD,1,0,1
GREAT EXPECTATIONS FOUNDATION,BC,VANCOUVER,3,5,1
GREAT LAKES COPPER EMPLOYEES CHARITABLE CONTRIBUTIONS ORGANIZATION,ON,LONDON,12,7,4
GREATER LIFE TABERNACLE UNITED PENTECOSTAL CHURCH INC,PE,CHARLOTTETOWN,1,1,1
GREATER PETERBOROUGH HEALTH SERVICES FOUNDATION,ON,PETERBOROUGH,1,7,1
GREATER TORONTO SCOUT FOUNDATION,ON,YORK,3,2,3
GREATER VANCOUVER FOOD BANK SOCIETY,BC,BURNABY,4,7,1
GREEK CANADIAN COMMUNITY ASSOCIATION OF NIAGARA,ON,NIAGARA FALLS,2,7,1
GREEK EVANGELICAL CHRISTIAN CHURCH OF VANCOUVER (M B),BC,VANCOUVER,2,5,2
GREEK ORTHODOX ARCHDIOCESE OF CANADA,ON,EAST YORK,3,2,3
GREEN SANDERSON FAMILY FOUNDATION,ON,TORONTO,10,7,4
GREENBELT FOUNDATION,ON,TORONTO,10,2,4
GREENDALE MENNONITE BRETHREN CHURCH,BC,CHILLIWACK,1,7,1
GREENMOUNT CHURCH OF CHRIST,PE,TIGNISH,1,2,1
GREENROCK CHARITABLE TRUST,ON,TORONTO,14,1,4
GREENWOOD COLLEGE SCHOOL FOUNDATION,ON,TORONTO,3,6,3
GREGG DISTRIBUTORS COMMUNITY ENHANCEMENT FOUNDATION,AB,EDMONTON,1,6,1
GREY BIRCH FOUNDATION,ON,RICHMOND HILL,3,0,2
"GREY BRUCE HEALTH SERVICES, WIARTON AUXILIARY",ON,WIARTON,4,7,4
GREY SAUBLE CONSERVATION FOUNDATION,ON,OWEN SOUND,1,7,1
GREY SISTERS OF THE IMMACULATE CONCEPTION,ON,PEMBROKE,13,2,4
GREY STREET UNITED CHURCH,MB,WINNIPEG,1,3,1
GREY/BRUCE SPECIAL HOCKEY FOUNDATION,ON,HANOVER,1,7,1
GRIMSBY BIBLE CHURCH,ON,GRIMSBY,3,3,3
GRIS MONTRÉAL,QC,MONTRÉAL,1,7,1
GRK FAMILY FOUNDATION INC.,SK,SASKATOON,1,2,1
GROCERY INDUSTRY FOUNDATION ATLANTIC INCORPORATED,NS,STELLARTON,1,4,1
GROSVENOR PARK UNITED CHURCH,SK,SASKATOON,3,4,3
GROUPEMENT SEPHARADE KOL YEHOUDA INC.,QC,COTE ST-LUC,1,6,1
GUENTHER FAMILY FOUNDATION INC.,MB,WINNIPEG,1,6,1
GUILD ELECTRIC CHARITABLE FOUNDATION,ON,SCARBOROUGH,9,2,3
GUILDWOOD COMMUNITY PRESBYTERIAN CHURCH,ON,SCARBOROUGH,2,5,2
GURDWARA GURU AMARDAS DARBAR SIKH SOCIETY,BC,KELOWNA,1,7,1
GURMAN FOUNDATION/FONDATION GURMAN,QC,MONTREAL,14,3,4
GURSIKH SABHA CANADA,ON,SCARBOROUGH,1,6,1
GURU TEG BAHADUR WELFARE SOCIETY,BC,SURREY,1,7,1
GURUDWARA SIRI GURU SINGH SABHA SOCIETY OF EDMONTON,AB,EDMONTON,1,2,1
Gabriola Island Lions Foundation,BC,GABRIOLA,2,2,2
Gay Lea Foundation,ON,MISSISSAUGA,6,5,3
Generations Community Church,ON,WELLESLEY,1,0,1
George C. Hunt Family Foundation,ON,TORONTO,4,0,4
George Jeffrey Children's Foundation,ON,THUNDER BAY,4,6,4
Georgian Bay Forever,ON,Toronto,1,0,1
Girl Guides of Canada/Guides Du Canada,BC,NORTH VANCOUVER,1,7,1
Give Foundation,ON,TORONTO,5,2,2
Glenn Gould Foundation,ON,Toronto,1,0,1
Global Choice Intercultural Education / Global Choice Éducation interculturelle,QC,MONTREAL,1,1,1
Gluskin Sheff Foundation for Philanthropy,ON,TORONTO,2,3,1
Gordon Butler Bequest,ON,TORONTO,3,2,3
Gospel Fellowship Church,SK,FOAM LAKE,1,3,1
Grace Community Church Winnipeg Inc.,MB,WINNIPEG,3,0,3
Grace Memorial Baptist Church Inc.,NB,FREDERICTON,1,5,1
Grace Reformed Church Of Lethbridge,AB,LETHBRIDGE,2,2,2
